順位,評価,都市名,最大降水量(mm),最小降水量(mm),平均降水量(mm),前年比(mm),前年比(%),最大降水月,最小降水月
6,B,名古屋_2023,377.5,25.0,125.4,,,6月,1月
3,A,名古屋_2024,282.0,1.0,147.8,22.400000000000006,17.9,8月,12月
8,B,大阪_2023,262.0,19.5,112.0,,,6月,12月
5,B,大阪_2024,297.0,6.0,132.5,20.5,18.3,6月,12月
10,B,札幌_2023,146.0,21.5,80.5,,,9月,5月
9,B,札幌_2024,160.0,34.5,93.3,12.799999999999997,15.9,10月,4月
7,B,東京_2023,347.0,15.5,116.4,,,6月,1月
2,A,東京_2024,381.0,0.5,160.5,44.099999999999994,37.9,8月,12月
4,B,福岡_2023,536.5,23.0,147.3,,,7月,10月
1,S,福岡_2024,352.5,29.5,164.2,16.899999999999977,11.5,11月,12月
